# w/T rho/wT^3(C=1) err_low err_up rho/wT^3(C=5) err_low err_up
1.645102990080392086e-03 2.312580328493482273e+00 7.171759853157615439e-01 6.691389199578856584e-01 8.888945847443652237e-01 2.765213359648100999e-01 2.527986764555532062e-01
1.675490872068770461e-03 2.312580095141336223e+00 7.171759129487380591e-01 6.691388524380679215e-01 8.888945811565802657e-01 2.765213348487057798e-01 2.527986754351991827e-01
1.706440070508038467e-03 2.312579853088787107e+00 7.171758378835506598e-01 6.691387824008114826e-01 8.888945774350262008e-01 2.765213336909878583e-01 2.527986743768014799e-01
1.737960953878569213e-03 2.312579602011449076e+00 7.171757600196015936e-01 6.691387097522567551e-01 8.888945735747151300e-01 2.765213324901047987e-01 2.527986732789420099e-01
1.770064082184409030e-03 2.312579341572838842e+00 7.171756792525398883e-01 6.691386343950433968e-01 8.888945695704739691e-01 2.765213312444474436e-01 2.527986721401489500e-01
1.802760210491037834e-03 2.312579071423930266e+00 7.171755954741274586e-01 6.691385562281806365e-01 8.888945654169361221e-01 2.765213299523462398e-01 2.527986709588964098e-01
1.836060292528496687e-03 2.312578791202681838e+00 7.171755085720867839e-01 6.691384751469131587e-01 8.888945611085350418e-01 2.765213286120693503e-01 2.527986697336015443e-01
1.869975484361062175e-03 2.312578500533555736e+00 7.171754184299561352e-01 6.691383910425812154e-01 8.888945566394970133e-01 2.765213272218208784e-01 2.527986684626220004e-01
1.904517148124707914e-03 2.312578199027012005e+00 7.171753249269332553e-01 6.691383038024691920e-01 8.888945520038322723e-01 2.765213257797373148e-01 2.527986671442543631e-01
1.939696855833600471e-03 2.312577886278986306e+00 7.171752279377083816e-01 6.691382133096670515e-01 8.888945471953285660e-01 2.765213242838864272e-01 2.527986657767314904e-01
